code;label-es_ES;label-nl_NL;label-nl_BE;label-nb_NO;label-it_IT;label-fr_FR;label-fi_FI;label-en_US;label-sv_SE;label-en_IE;label-en_GB;label-de_DE;label-de_CH;label-de_AT;label-da_DK;label-cs_CZ;label-pl_PL;attribute;sort_order
o_28_mm_l_280_mm_230_g;"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";"Ø: 28 mm L: 280 mm - 230 g";size;1
o_35_mm_l_310_mm_365_g;"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";"Ø: 35 mm L: 310 mm - 365 g";size;1
o_45_mm_l_320_mm_698_g;"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";"Ø: 45 mm L: 320 mm - 698 g";size;1
o_60_mm_l_380_mm_1462_g;"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";"Ø: 60 mm L: 380 mm - 1462 g";size;1
o_30_mm_l_300_mm_575_g;"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";"Ø: 30 mm L: 300 mm - 575 g";size;1
o_50_mm_l_305_mm_670_g;"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";"Ø: 50 mm L: 305 mm - 670 g";size;1
o_40_mm_l_310_mm_796_g;"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";"Ø: 40 mm L: 310 mm - 796 g";size;1
o_50_mm_l_325_mm_1206_g;"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";"Ø: 50 mm L: 325 mm - 1206 g";size;1
o_60_mm_l_385_mm_1505_g;"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";"Ø: 60 mm L: 385 mm - 1505 g";size;1
o_65_mm_14_sides;"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sidor";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 Sides";"Ø: 65 mm - 14 sides";"Ø: 65 mm - 14 Sides";size;1
o_68_mm_14_sides;"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sidor";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 Sides";"Ø: 68 mm - 14 sides";"Ø: 68 mm - 14 Sides";size;1
o_73_mm_14_sides;"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sidor";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 Sides";"Ø: 73 mm - 14 sides";"Ø: 73 mm - 14 Sides";size;1
o_74_mm_14_sides;"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sidor";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";"Ø: 74 mm - 14 Sides";size;1
o_74_mm_15_sides;"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sidor";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 Sides";"Ø: 74 mm - 15 sides";"Ø: 74 mm - 15 Sides";size;1
o_75_77_mm_15_sides;"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sidor";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 Sides";"Ø: 75-77 mm - 15 sides";"Ø: 75-77 mm - 15 Sides";size;1
o_76_mm_8_sides;"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sidor";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 Sides";"Ø: 76 mm - 8 sides";"Ø: 76 mm - 8 Sides";size;1
o_76_mm_14_sides;"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sidor";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 Sides";"Ø: 76 mm - 14 sides";"Ø: 76 mm - 14 Sides";size;1
o_74_76_mm_sides;"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sidor";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - Sides";"Ø: 74-76 mm - sides";"Ø: 74-76 mm - Sides";size;1
o_78_mm_15_sides;"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sidor";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 Sides";"Ø: 78 mm - 15 sides";"Ø: 78 mm - 15 Sides";size;1
o_80_mm_15_sides;"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sidor";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 Sides";"Ø: 80 mm - 15 sides";"Ø: 80 mm - 15 Sides";size;1
o_80_82_mm_15_sides;"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sidor";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 Sides";"Ø: 80-82 mm - 15 sides";"Ø: 80-82 mm - 15 Sides";size;1
o_86_mm_16_sides;"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sidor";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 Sides";"Ø: 86 mm - 16 sides";"Ø: 86 mm - 16 Sides";size;1
o_90_mm_15_sides;"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sidor";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 Sides";"Ø: 90 mm - 15 sides";"Ø: 90 mm - 15 Sides";size;1
o_92_mm_10_sides;"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sidor";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 Sides";"Ø: 92 mm - 10 sides";"Ø: 92 mm - 10 Sides";size;1
o_93_mm_15_sides;"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sidor";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 Sides";"Ø: 93 mm - 15 sides";"Ø: 93 mm - 15 Sides";size;1
o_95_mm_15_sides;"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sidor";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 Sides";"Ø: 95 mm - 15 sides";"Ø: 95 mm - 15 Sides";size;1
o_100_mm_15_sides;"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sidor";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 Sides";"Ø: 100 mm - 15 sides";"Ø: 100 mm - 15 Sides";size;1
o_106_mm_15_sides;"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sidor";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 Sides";"Ø: 106 mm - 15 sides";"Ø: 106 mm - 15 Sides";size;1
o_108_mm_15_sides;"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sidor";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 Sides";"Ø: 108 mm - 15 sides";"Ø: 108 mm - 15 Sides";size;1
o_135_mm_18_sides;"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sidor";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 Sides";"Ø: 135 mm - 18 sides";"Ø: 135 mm - 18 Sides";size;1
28_mm;"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";"28 mm";size;1
28_55_mm;"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";"28/55 mm";size;1
41_mm;"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";"41 mm";size;1
46_mm;"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";"46 mm";size;1
30_50_mm;"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";"30-50 mm";size;1
26_35_mm;"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";"26-35 mm";size;1
35_55_mm;"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";"35-55 mm";size;1
38_45_mm;"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";"38-45 mm";size;1
25_70_mm;"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";"25-70 mm";size;1
45_52_mm;"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";"45-52 mm";size;1
9_16inch;"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";"9/16""";size;1
7_8inch;"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";"7/8""";size;1
7_16inch;"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";"7/16""";size;1
5_8inch;"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";"5/8""";size;1
5_16inch;"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";"5/16""";size;1
3_4inch;"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";"3/4""";size;1
1inch;"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";"1""";size;1
13_16inch;"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";"13/16""";size;1
11_16inch;"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";"11/16""";size;1
1_8inch;"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";"1/8""";size;1
9_64inch;"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";"9/64""";size;1
5_32inch;"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";"5/32""";size;1
3_16inch;"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";"3/16""";size;1
7_32inch;"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";"7/32""";size;1
1_4inch;"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";"1/4""";size;1
25_mm;"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";"25 mm";size;1
1_16inch;"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";"1/16""";size;1
